Hora de inicio de la toma de datos: 12:22:40
AT(s) ROLL1(udig) MCF1 IFD1 A1 MCF2 IFP2 IFD2(*) A2(**) MCF3 IFP3 IFD3(*) A3 MCF4 IFP4 IFD4(*) A4 MCF5 IFP5 IFD5(*) A5 ROLL5 C C_Ano usado
2.07 148 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 103 0 161 251 130 97 0 
2.08 148 89 130 108 110 90 0 0 128 82 0 152 114 77 0 155 116 103 0 161 251 130 97 0 
2.09 148 89 130 108 110 90 0 0 133 82 0 152 114 77 0 155 116 103 0 161 251 130 97 0 
2.1 148 89 130 108 110 90 0 0 133 82 0 152 114 77 0 155 116 103 0 161 251 130 97 0 
2.11 148 89 130 108 115 90 0 0 137 88 0 152 118 77 0 155 116 103 0 161 251 130 97 0 
2.12 148 89 130 108 115 90 0 0 137 88 0 152 118 77 0 155 121 103 0 161 251 130 97 0 
2.13 148 89 130 108 115 90 0 0 137 88 0 152 118 77 0 155 121 103 0 161 251 130 97 0 
2.14 148 89 130 108 115 90 0 0 137 88 0 157 118 82 0 155 121 103 0 161 251 130 97 0 
2.15 148 89 130 108 115 90 0 0 137 88 0 157 118 82 0 155 121 103 0 161 251 130 97 0 
2.16 148 89 130 108 115 90 0 0 141 88 0 157 118 82 0 155 121 103 0 161 251 130 97 0 
2.17 152 89 130 108 115 90 0 0 141 88 0 157 118 82 0 155 121 103 0 161 251 130 97 0 
2.18 152 89 130 108 115 96 0 0 141 92 0 157 118 82 0 155 121 103 0 161 251 130 97 0 
2.19 152 89 130 108 115 96 0 0 141 92 0 157 118 82 0 155 121 107 0 161 251 130 97 0 
2.2 152 85 130 102 115 96 0 0 141 92 0 157 118 82 0 155 121 107 0 161 251 134 97 0 
2.21 152 85 130 102 115 96 0 0 141 92 0 157 118 82 0 155 121 107 0 161 251 134 97 0 
2.22 152 85 130 102 115 96 0 0 141 92 0 157 118 82 0 155 121 107 0 161 251 134 97 0 
2.23 157 85 130 98 115 96 0 0 141 92 0 157 118 82 0 155 121 107 0 161 251 134 97 0 
2.24 157 85 130 98 115 96 0 0 141 92 0 157 118 82 0 155 121 107 0 161 251 134 97 0 
2.25 163 80 130 92 115 96 0 0 141 92 0 157 118 82 0 155 121 107 0 161 251 134 97 0 
2.26 167 80 130 92 115 96 0 0 141 92 0 157 118 82 0 155 121 107 0 161 251 139 97 0 
2.27 167 80 130 88 115 96 0 0 141 92 0 157 118 82 0 155 121 107 0 156 251 139 97 0 
2.28 172 80 127 88 120 96 0 0 141 92 0 157 123 82 0 155 126 107 0 156 251 139 97 0 
2.29 172 80 127 88 120 96 0 0 145 92 0 157 123 82 0 155 126 107 0 156 251 139 97 0 
2.3 172 80 127 88 120 96 0 0 145 92 0 157 123 87 0 155 128 107 0 156 251 139 97 0 
2.31 172 80 127 88 120 96 0 0 145 99 0 157 123 87 0 155 128 107 0 156 251 139 97 0 
2.32 172 80 127 88 120 96 0 0 145 99 0 157 123 87 0 155 128 107 0 156 251 139 97 0 
2.33 176 80 127 88 124 96 0 0 145 99 0 157 127 87 0 155 128 107 0 156 251 139 97 0 
2.34 176 80 127 88 124 96 0 0 150 103 0 157 127 87 0 155 128 107 0 156 251 139 97 0 
2.35 176 80 127 88 124 96 0 0 150 103 0 157 130 93 0 160 133 107 0 156 251 139 97 0 
2.36 176 80 127 88 124 96 0 0 154 103 0 157 130 93 0 160 133 107 0 156 251 139 97 0 
2.37 176 80 127 88 130 100 0 0 158 110 0 157 134 97 0 160 137 113 0 156 251 139 97 0 
2.38 176 76 127 88 134 100 0 0 162 110 0 157 138 97 0 160 137 113 0 156 251 139 97 0 
2.39 181 76 127 82 140 100 0 0 171 119 0 157 144 103 0 165 146 113 0 156 251 134 97 0 
2.4 181 76 127 82 148 100 0 0 181 126 0 157 151 107 0 165 153 119 0 156 251 134 97 0 
2.41 181 76 127 82 148 100 0 0 181 126 0 157 158 111 0 170 160 119 0 156 251 130 97 0 
2.42 181 76 122 82 156 106 0 0 190 134 0 157 158 111 0 170 160 119 0 156 251 130 97 0 
2.43 181 76 122 82 162 106 0 0 195 143 0 157 162 115 0 170 166 124 0 156 251 130 97 0 
2.44 181 76 122 77 162 111 0 0 195 154 0 162 162 119 0 174 166 124 0 160 251 126 92 0 
2.45 181 76 122 77 162 111 0 0 195 164 0 162 162 119 0 174 166 128 0 160 251 126 92 0 
2.46 176 76 122 77 169 116 0 0 195 169 0 162 166 124 0 174 171 128 0 160 251 126 92 0 
2.47 176 76 122 77 169 116 0 0 195 169 0 162 166 124 0 174 171 128 0 160 251 121 92 0 
2.48 176 76 122 77 169 116 0 0 195 169 0 162 166 124 0 174 171 133 0 160 251 121 92 0 
2.49 176 76 122 77 169 116 0 0 195 169 0 162 166 124 0 174 171 133 0 160 251 121 92 0 
2.5 176 76 122 77 169 116 0 0 195 169 0 162 166 124 0 174 171 133 0 160 251 121 92 0 
